label,point
248a1,"(0, -1)"
248c1,"(1, 1)"
249a1,"(4, -3)"
249b1,"(0, -1)"
252b1,"(-2, -9)"
252b2,"(7, 18)"
254a1,"(-4, 10)"
254a2,"(-10, 8)"
254a3,"(-36131/400, 361313/8000)"
254c1,"(-1, 1)"
256a1,"(-1, 2)"
256a2,"(-2, 1)"
256b1,"(-1, 1)"
256b2,"(1, 3)"
258a1,"(2, -5)"
258c1,"(5, -12)"
262a1,"(-2, 5)"
262b1,"(1, -1)"
265a1,"(6, -8)"
265a2,"(0, 26)"
269a1,"(-1, 0)"
272a1,"(-2, 4)"
272a2,"(-4, 2)"
272b1,"(-1, 2)"
272b2,"(-3, 24)"
272b3,"(-3, 160)"
272b4,"(-1, 30)"
273a1,"(11, -32)"
274a1,"(2, -3)"
274b1,"(31, -16)"
274c1,"(-1, 1)"
274c2,"(1, 1)"
275a1,"(8, 21)"
275a2,"(0, 16)"
275a3,"(-16, 20)"
275a4,"(24, 0)"
277a1,"(1, 0)"
278a1,"(2, 3)"
280a1,"(1, -2)"
280b1,"(-18, -70)"
282b1,"(3, -6)"
282b2,"(-3, 48)"
285a1,"(1, 4)"
285a2,"(-7, 17)"
285b1,"(6, 13)"
285b2,"(-6, 6)"
286b1,"(19, -98)"
286c1,"(1, -6)"
288a1,"(1, 2)"
288a2,"(-2, -4)"
288b1,"(-3, 4)"
288b2,"(26, 90)"
288b3,"(-10, 36)"
288b4,"(5, 18)"
289a1,"(-12, 38)"
289a2,"(5881/64, 370705/512)"
289a3,"(625, 14715)"
289a4,"(239/4, 2647/8)"
290a1,"(-5, 4)"
290a2,"(16, -66)"
291c1,"(-2, 2)"
291c2,"(-3, 2)"
294g1,"(1, -7)"
294g2,"(-1, 27)"
296a1,"(1, -2)"
296b1,"(3, -2)"
297a1,"(15, -50)"
297b1,"(0, 0)"
297c1,"(4, -11)"
298a1,"(2, 1)"
298b1,"(1, 0)"
300d1,"(1, 3)"
300d2,"(2, -10)"
302a1,"(-15, 47)"
302a2,"(803, 22399)"
302c1,"(1, -3)"
303a1,"(-2, -14)"
303b1,"(0, 1)"
304a1,"(10, -32)"
304a2,"(-30, 152)"
304c1,"(0, 4)"
304f1,"(3, 2)"
306b1,"(-3, 6)"
306b2,"(-11, 6)"
306b3,"(-32, 101)"
306b4,"(7, 42)"
308a1,"(7, -14)"
309a1,"(3, -6)"
310b1,"(-4, 30)"
310b2,"(-46, 116)"
310b3,"(-2, 32)"
310b4,"(0, 124)"
312b1,"(-1, 1)"
312b2,"(2, 4)"
312f1,"(-1, 3)"
312f2,"(-6, -18)"
314a1,"(6, 13)"
315b1,"(-2, 1)"
315b2,"(-2, -17)"
315b3,"(18, -5)"
315b4,"(0, 31)"
316b1,"(-1, -2)"
318c1,"(5, 11)"
318d1,"(1, 5)"
320b1,"(-2, 4)"
320b2,"(-3, 3)"
320b3,"(24, 12)"
320b4,"(6, 16)"
320f1,"(-2, 1)"
320f2,"(3, -8)"
320f3,"(6, 5)"
320f4,"(-5, 40)"
322a1,"(-2, 8)"
322a2,"(7, 7)"
322d1,"(0, -2)"
322d2,"(2, -24)"
324c1,"(-3, 3)"
324c2,"(-8, 1)"
325a1,"(-43/4, 21/8)"
325a2,"(-21, 6)"
325b1,"(1, 0)"
325b2,"(-4, 0)"
326a1,"(-5, 3)"
326b1,"(0, -2)"
327a1,"(1, -2)"
328a1,"(-2, 2)"
328a2,"(6, 18)"
330e1,"(-3, 4)"
330e2,"(3, 6)"
330e3,"(-2, -164)"
330e4,"(22, -136)"
331a1,"(1, -1)"
333a1,"(-3, 0)"
333a2,"(-63/4, 181/8)"
333a3,"(-351/4, 10261/8)"
333b1,"(2, 7)"
333b2,"(-2, 28)"
333c1,"(2, 1)"
333c2,"(-2, 2)"
335a1,"(2, -3)"
336e1,"(2, -6)"
336e2,"(-6, 14)"
336e3,"(-14, 6)"
336e4,"(-11, 126)"
336e5,"(90, 370)"
336e6,"(-24, 112)"
338a1,"(0, 1)"
338a2,"(26, 51)"
338e1,"(5, 10)"
338e2,"(5, 23)"
338f1,"(23, -96)"
338f2,"(3613/9, -191066/27)"
339a1,"(18, -41)"
339c1,"(1, 1)"
340a1,"(2, -3)"
340a2,"(-1, 10)"
342c1,"(-3, 15)"
342c2,"(15, -93)"
342c3,"(-39, -408)"
342c4,"(-57/4, 3135/8)"
342e1,"(-1, 2)"
342e2,"(-3, 2)"
344a1,"(0, 2)"
345b1,"(-1, 1)"
345f1,"(5, -8)"
346b1,"(-1, -2)"
347a1,"(0, 0)"
348a1,"(0, 1)"
348d1,"(10, 27)"
350c1,"(1, -4)"
350c2,"(31, 156)"
350f1,"(-1, 35)"
352b1,"(1, -4)"
352c1,"(3, 4)"
352d1,"(3, 4)"
352f1,"(12, 44)"
354c1,"(13, 7)"
354f1,"(3, -8)"
356a1,"(2, 2)"
357b1,"(4, 3)"
357d1,"(0, -11)"
359a1,"(3, -3)"
359b1,"(2, -1)"
360e1,"(-2, 1)"
360e2,"(-3, -18)"
360e3,"(19, 8)"
360e4,"(3, -36)"
361a1,"(0, 9)"
361a2,"(2527, 126891)"
362a1,"(1, 0)"
362b1,"(1, -5)"
364a1,"(-8, 98)"
364b1,"(1, -2)"
366f1,"(-3, 4)"
366f2,"(81, 691)"
366g1,"(-3, 13)"
368a1,"(3, 6)"
368a2,"(-3, 4)"
368d1,"(1, 1)"
368e1,"(1, 1)"
368e2,"(9, 23)"
368g1,"(4, 1)"
369a1,"(1, -5)"
370a1,"(-2, 3)"
370a2,"(-3, 3)"
370a3,"(45, 240)"
370a4,"(7, 13)"
371a1,"(14, -56)"
372a1,"(0, -3)"
372d1,"(-2, 3)"
373a1,"(-1, 0)"
374a1,"(-1, 6)"
374a2,"(5, 23)"
377a1,"(-2, 5)"
377a2,"(-9/4, 39/8)"
377a3,"(22, 67)"
377a4,"(127/36, 2509/216)"
378d1,"(2, 2)"
378f1,"(4, 11)"
378f2,"(8, 24)"
378f3,"(62, -543)"
380a1,"(-1, 2)"
380a2,"(14, 30)"
381a1,"(-2, -2)"
384d1,"(-1, 2)"
384d2,"(1, -4)"
384h1,"(1, -6)"
384h2,"(11, 36)"
385a1,"(-17/4, 123/8)"
385a2,"(6, -56)"
385a3,"(2, -64)"
385a4,"(61, -1)"
385b1,"(-1, 3)"
385b2,"(-5, 20)"
387b1,"(10, -32)"
387c1,"(0, 1)"
390a1,"(1, 1)"
390a2,"(-4, 7)"
390a3,"(-13, 7)"
390a4,"(9, 33)"
392a1,"(9, 22)"
392a2,"(107, 1056)"
392a3,"(1306/9, 13420/27)"
392a4,"(14, 98)"
392c1,"(-2, 7)"
392f1,"(1, -1)"
396b1,"(2, -9)"
396b2,"(-1, -18)"
399a1,"(-10, 33)"
399a2,"(-34, 260)"
399b1,"(-2, 1)"
399b2,"(-2, 14)"
400a1,"(15, 50)"
400a2,"(1, 24)"
400a3,"(-15, 300)"
400a4,"(-5, 50)"
400c1,"(12, 40)"
400c2,"(28, 16)"
400c3,"(92, -800)"
400c4,"(68, -1024)"
400h1,"(1, -4)"
402a1,"(4, -10)"
402d1,"(7, 2)"
402d2,"(25, -205)"
402d3,"(8799/25, 764372/125)"
404a1,"(0, 2)"
405b1,"(-3, 7)"
405b2,"(-6, 4)"
405c1,"(0, 1)"
405c2,"(18, 8)"
405d1,"(4, 2)"
405d2,"(76, -601)"
405f1,"(-1, 0)"
406a1,"(9, -19)"
406a2,"(-45, 537)"
406b1,"(3, -16)"
406b2,"(37, -243)"
406c1,"(7, 3)"
408d1,"(7, 18)"
410a1,"(1, 2)"
410a2,"(9, -3)"
410d1,"(-2, -4)"
410d2,"(6, -28)"
414c1,"(5, -16)"
414c2,"(-9, 16)"
414c3,"(-27, 16)"
414c4,"(-31, 119)"
414d1,"(1, 17)"
414d2,"(17, -55)"
416b1,"(0, 2)"
418b1,"(5, -25)"
422a1,"(2, 1)"
423a1,"(-2, 4)"
423c1,"(51/4, 273/8)"
423c2,"(99/4, 153/8)"
423c3,"(6867/4, 561393/8)"
423c4,"(-89/4, 183/8)"
423f1,"(8, -5)"
423g1,"(1, -2)"
425a1,"(-9/4, 59/8)"
425a2,"(-25/4, 43/8)"
425a3,"(1589/16, 50597/64)"
425a4,"(14, 18)"
425b1,"(10, 20)"
425c1,"(1, 0)"
425d1,"(-9, 5)"
425d2,"(37, -231)"
426b1,"(7, -17)"
426b2,"(21, 167)"
427b1,"(1, 0)"
427c1,"(-3, 2)"
428b1,"(1, 1)"
429a1,"(0, 1)"
429a2,"(-2, 6)"
429b1,"(-3, 12)"
429b2,"(-13, 89)"
429b3,"(-21, 69)"
429b4,"(104, 743)"
429b5,"(-34, 56)"
429b6,"(17, 206)"
430a1,"(3, -2)"
430b1,"(1, 2)"
430c1,"(-2, 2)"
430c2,"(10, 10)"
430c3,"(771/4, 18699/8)"
430d1,"(-26, 213)"
431a1,"(1, 0)"
432b1,"(2, 2)"
432b2,"(6, 18)"
432d1,"(5, -12)"
432f1,"(5, 16)"
432f2,"(29, -128)"
432f3,"(-3, 72)"
434a1,"(-1, 2)"
434a2,"(-3, 17)"
434d1,"(0, 7)"
434d2,"(2, 13)"
437a1,"(10, 34)"
438c1,"(-2, 3)"
438c2,"(-5, 3)"
438d1,"(-24, 268)"
438d2,"(423/4, 137/8)"
438d3,"(-66, 142)"
438d4,"(156, 688)"
438f1,"(-5, 6)"
438f2,"(-7, 6)"
438f3,"(159, 1864)"
438f4,"(11, 24)"
438g1,"(0, 1)"
438g2,"(6, -2)"
440a1,"(-4, 1)"
440a2,"(7, 12)"
440b1,"(2, 3)"
440b2,"(-3, 2)"
441b1,"(-7/4, 17/8)"
441b2,"(21, 94)"
441c1,"(71/4, 811/8)"
441c2,"(-4, 38)"
441c3,"(9255/4, 879115/8)"
441c4,"(20, 719)"
441c5,"(-7430707/21904, 551231003/3241792)"
441c6,"(296, 4262)"
441d1,"(2, -5)"
441d2,"(10, -10)"
441d3,"(46, 170)"
441d4,"(-74, 41)"
441f1,"(4, -5)"
441f2,"(235, -3281)"
442b1,"(-9, 21)"
442b2,"(95, 819)"
443a1,"(-1, 0)"
443b1,"(-1, 1)"
444b1,"(-3, 3)"
444b2,"(0, 6)"
446a1,"(4, -6)"
446b1,"(-5, 10)"
448a1,"(0, 4)"
448a2,"(-3, 21)"
448a3,"(-10, 16)"
448a4,"(29, 75)"
448b1,"(4, 8)"
448b2,"(12, 24)"
448b3,"(124, 1320)"
448b4,"(-16, 28)"
448g1,"(1, 4)"
448g2,"(-1, 8)"
450c1,"(0, 9)"
450c2,"(9, -27)"
450c3,"(39, -222)"
450c4,"(-51, 48)"
450f1,"(-1, -37)"
450f2,"(29, 23)"
450f3,"(14, 118)"
450f4,"(-41, 358)"
451a1,"(7, 20)"
455a1,"(-25/4, 123/8)"
455a2,"(-41/4, 107/8)"
455a3,"(14797/144, 1102837/1728)"
455a4,"(1087/36, 30553/216)"
455b1,"(-5/4, 141/8)"
455b2,"(-6, 22)"
455b3,"(-11, 17)"
455b4,"(-4, 19)"
456c1,"(3, 6)"
456d1,"(23, 114)"
458a1,"(2, -3)"
458b1,"(-3, 5)"
459a1,"(2, 1)"
459b1,"(4, 8)"
459h1,"(-2, 5)"
460c1,"(-6, 25)"
460c2,"(613/9, 15625/27)"
460d1,"(4, -5)"
462a1,"(4, -11)"
462a2,"(-7, 7)"
462c1,"(1, 2)"
462c2,"(-3, 5)"
462c3,"(-9, 5)"
462c4,"(-9, 36)"
462e1,"(151, 1772)"
462e2,"(47, -52)"
464a1,"(0, 2)"
464b1,"(6, -2)"
465a1,"(0, 4)"
465a2,"(0, 27)"
465b1,"(7, 13)"
465b2,"(-3, 6)"
465b3,"(-11, 43)"
465b4,"(2, 11)"
467a1,"(1, -1)"
468c1,"(0, -9)"
468c2,"(3, -18)"
469a1,"(-5, 4)"
469b1,"(2, -1)"
470a1,"(1, 7)"
470c1,"(-8, 29)"
470e1,"(1, 0)"
470f1,"(-9, -16)"
471a1,"(0, -2)"
472a1,"(0, 1)"
472e1,"(0, 2)"
473a1,"(15, -22)"
474a1,"(14, 57)"
474b1,"(1, 2)"
475b1,"(10, 31)"
475b2,"(8, 34)"
475c1,"(0, 1)"
475c2,"(-2, 10)"
477a1,"(2, 0)"
480a1,"(-1, 2)"
480a2,"(11, 8)"
480a3,"(-4, 18)"
480a4,"(5, 14)"
480f1,"(-1, 10)"
480f2,"(-3, 6)"
480f3,"(-12, 90)"
480f4,"(-3, 12)"
481a1,"(87/4, 63/8)"
481a2,"(36, 93)"
482a1,"(17, -73)"
484a1,"(18, 121)"
484a2,"(205, 2662)"
485b1,"(0, 0)"
486a1,"(2, 3)"
486a2,"(8, -3)"
486b1,"(-1, 1)"
486b2,"(-11, 10)"
486f1,"(-5, 8)"
486f2,"(-19, 10)"
490a1,"(1, 12)"
490a2,"(53, 169)"
490d1,"(0, 1)"
490d2,"(8, 16)"
490g1,"(18, -79)"
490g2,"(18, 5)"
492a1,"(3, 2)"
492b1,"(-7, 18)"
493b1,"(40, 226)"
494a1,"(3, 8)"
494d1,"(45, 224)"
495a1,"(2, 2)"
495a2,"(-4, 7)"
495a3,"(-13, 7)"
495a4,"(-14, 56)"
496a1,"(0, 1)"
496e1,"(2, 1)"
496f1,"(7, 14)"
496f2,"(39, 210)"
496f3,"(847/9, 11690/27)"
496f4,"(-3, 40)"
497a1,"(2, 6)"
498b1,"(-1, 6)"
503a1,"(7, 4)"
504a1,"(0, 3)"
504a2,"(3, -12)"
504e1,"(-2, 3)"
504e2,"(1, -6)"
504f1,"(-7, 18)"
504f2,"(-7, 18)"
504f3,"(-21, 4)"
504f4,"(11, 72)"
505a1,"(7/4, -1/8)"
505a2,"(-2, 6)"
506a1,"(-4, 2)"
506d1,"(17, -3)"
506e1,"(-1, 1)"
506f1,"(4, -6)"
507a1,"(70, 472)"
507a2,"(6144/25, 354243/125)"
507b1,"(2, 0)"
507b2,"(106, 1040)"
507c1,"(3837/16, 230753/64)"
507c2,"(-18, 40)"
507c3,"(200, 2181)"
507c4,"(44, 62)"
510d1,"(-9, -20)"
510d2,"(-13, 24)"
510d3,"(-47, 24)"
510d4,"(21, 74)"
513a1,"(8, -3)"
513b1,"(2, 0)"
514a1,"(-7, 6)"
514a2,"(51, 178)"
514a3,"(565, 12620)"
514a4,"(457/9, 4826/27)"
514b1,"(-2, 2)"
514b2,"(0, 2)"
516b1,"(7, -18)"
517c1,"(85/4, 513/8)"
520a1,"(-1, 8)"
520a2,"(-2, 6)"
520a3,"(169/4, 1725/8)"
520a4,"(38, 246)"
522a1,"(7, 10)"
522e1,"(-1, -13)"
522f1,"(6, 13)"
522f2,"(36, -47)"
522i1,"(1, 2)"
522j1,"(11, -24)"
524a1,"(10, 1)"
525a1,"(-25/4, 171/8)"
525a2,"(-10, 17)"
525a3,"(-31, 17)"
525a4,"(20, -123)"
525c1,"(-85/4, 585/8)"
525c2,"(10, -130)"
525d1,"(-3, 9)"
525d2,"(7, -26)"
528a1,"(-2, 2)"
528a2,"(4, -12)"
528g1,"(-6, 2)"
528g2,"(20, -88)"
528g3,"(18, 22)"
528g4,"(-28, 176)"
528h1,"(4, -6)"
528h2,"(-10, 24)"
528h3,"(-28, 6)"
528h4,"(6, 48)"
530b1,"(-1, 2)"
530b2,"(2, 4)"
530c1,"(156, 1922)"
530d1,"(1, -6)"
534a1,"(-3, 7)"
534a2,"(-1, 9)"
539c1,"(123, 1310)"
539c2,"(-117/4, 603/8)"
539d1,"(9, -25)"
539d2,"(44, -270)"
539d3,"(1429/4, 45/8)"
540b1,"(0, 1)"
540b2,"(-7, 15)"
540c1,"(-24, 90)"
540c2,"(-11, 125)"
540d1,"(1, 1)"
540d2,"(28, 55)"
542b1,"(1, -3)"
544a1,"(0, 2)"
544a2,"(2, 6)"
545a1,"(6, 17)"
545a2,"(-8, 64)"
545a3,"(-182/9, 1363/27)"
545a4,"(136, 1527)"
546c1,"(-4, 3)"
546c2,"(-6, -29)"
546c3,"(-35, 260)"
546c4,"(-3, 40)"
549a1,"(3/4, 9/8)"
549a2,"(0, 3)"
549b1,"(2, 4)"
549b2,"(-8, 17)"
550a1,"(5, 10)"
550a2,"(15, 55)"
550f1,"(52, 286)"
550f2,"(52, -714)"
550f3,"(502, -314)"
550g1,"(1, -3)"
550g2,"(3, -13)"
550i1,"(-35, 292)"
550i2,"(5, -503)"
550j1,"(-1, 10)"
551a1,"(7, 15)"
551b1,"(5, 7)"
551c1,"(509/4, 10465/8)"
551d1,"(9, -15)"
552a1,"(18, 64)"
552a2,"(45, 152)"
552d1,"(17, 5)"
552d2,"(-8, 10)"
552d3,"(46, 260)"
552d4,"(38, 240)"
552e1,"(-2, 6)"
552e2,"(11, 18)"
552e3,"(19, 30)"
552e4,"(133/4, 177/8)"
556a1,"(2, -1)"
557a1,"(0, -1)"
558a1,"(1, -2)"
558d1,"(9, -45)"
558d2,"(279, 4185)"
558f1,"(-3, 7)"
558f2,"(91, 791)"
558g1,"(9, 4)"
560d1,"(-1, 10)"
560d2,"(-3, 48)"
560d3,"(-17, 6)"
560d4,"(-11, -392)"
560e1,"(6, 14)"
560f1,"(5, -10)"
560f2,"(17, -2)"
561b1,"(34, 181)"
561c1,"(1, 1)"
564a1,"(-8, 1)"
564b1,"(-7, 6)"
564b2,"(-14, 3)"
566a1,"(0, 2)"
567a1,"(4, -9)"
567b1,"(10, 26)"
570a1,"(4, -10)"
570a2,"(16, -62)"
570c1,"(-2, 11)"
570c2,"(-8, -71)"
570e1,"(2, 3)"
570e2,"(-6, 10)"
570e3,"(-18, 10)"
570e4,"(7, -31)"
573c1,"(-1, -2)"
574a1,"(-1, 1)"
574b1,"(17, 65)"
574b2,"(39, 42)"
574f1,"(-2, 19)"
574f2,"(-28, 17)"
574g1,"(-1, 4)"
574h1,"(1, 2)"
574h2,"(1, -8)"
574i1,"(-121, 1292)"
574i2,"(-402671/225, 3021062/3375)"
575a1,"(0, 1)"
575b1,"(45, 312)"
575d1,"(-6, 15)"
575e1,"(3, 2)"
576a1,"(1, 3)"
576a2,"(2, 8)"
576a3,"(10, 28)"
576a4,"(-14, 8)"
576h1,"(4, 10)"
576h2,"(-3, 9)"
576h3,"(-11, 1)"
576h4,"(-6, 72)"
576i1,"(1, 9)"
576i2,"(-8, 36)"
576i3,"(-16, 20)"
576i4,"(10, 144)"
576i5,"(157, 1035)"
576i6,"(34, 144)"
579b1,"(-1, 2)"
579b2,"(2, 5)"
580a1,"(-2, 1)"
580a2,"(3, 6)"
580b1,"(-2, -5)"
580b2,"(7, 30)"
582a1,"(-3, 3)"
582a2,"(5, 11)"
582c1,"(1, 3)"
582c2,"(13, -5)"
585a1,"(8, -17)"
585a2,"(28, -82)"
585d1,"(-7, 7)"
585d2,"(30, 175)"
585f1,"(238, 3513)"
585f2,"(-93/4, 273/8)"
585f3,"(39/4, 2067/8)"
585f4,"(115/4, 897/8)"
585f5,"(120, 696)"
585f6,"(-30, 600)"
585f7,"(588, 1281)"
585f8,"(519/4, 7167/8)"
585g1,"(-1, -5)"
585h1,"(-9/4, 27/8)"
585h2,"(4, -15)"
585i1,"(8, 67)"
586b1,"(-7, 19)"
586c1,"(1, -2)"
588b1,"(5, 49)"
588b2,"(-2, 98)"
588b3,"(26, 196)"
588b4,"(685/4, 343/8)"
588c1,"(-1, 1)"
588c2,"(2, -6)"
590c1,"(1, -3)"
590d1,"(10, 0)"
591a1,"(0, -2)"
592a1,"(-2, 1)"
592d1,"(-1, 2)"
592e1,"(-4, 1)"
592e2,"(4, -37)"
592e3,"(100, 5)"
593a1,"(1, 0)"
594a1,"(0, -6)"
594d1,"(18, 79)"
598a1,"(1, 19)"
598a2,"(217/9, -176/27)"
598b1,"(-5, 14)"
598d1,"(21, -103)"
600a1,"(-13, 75)"
600a2,"(-14, 72)"
600a3,"(-39, 22)"
600a4,"(2, 100)"
600a5,"(2373/4, 98725/8)"
600a6,"(561, 13222)"
600b1,"(1, 2)"
600e1,"(43, 270)"
603e1,"(6, 6)"
603f1,"(5, 4)"
605a1,"(212, -3131)"
605b1,"(3052/9, 163901/27)"
605b2,"(26, 24)"
605b3,"(-48, 26)"
605b4,"(14, 174)"
605c1,"(6, 9)"
606b1,"(0, 1)"
606e1,"(0, 24)"
608a1,"(4, 4)"
608d1,"(0, 4)"
608e1,"(128, 1444)"
608f1,"(1, 2)"
609a1,"(-1/4, 15/8)"
609a2,"(2, 2)"
609b1,"(-5, 114)"
609b2,"(-104, 929)"
609b3,"(-124, 569)"
609b4,"(1317, 44646)"
609b5,"(-153, 511)"
609b6,"(78, 1918)"
610b1,"(-8, 44)"
610b2,"(-9, 42)"
610b3,"(-266/9, 94/27)"
610b4,"(2, 34)"
612b1,"(8, 6)"
612b2,"(93, 567)"
612c1,"(-4, 18)"
614a1,"(5, -4)"
614b1,"(0, 1)"
614b2,"(96, -969)"
615a1,"(-2, -1)"
615a2,"(3, -11)"
615b1,"(22, -113)"
616a1,"(7, 32)"
616a2,"(18, 12)"
616d1,"(29, 154)"
616e1,"(6, 3)"
616e2,"(-3, 6)"
616e3,"(-18, 14)"
616e4,"(11, 48)"
618a1,"(0, -2)"
618b1,"(61, -1)"
618c1,"(-4, 9)"
618c2,"(28, 140)"
618d1,"(15, 28)"
618d2,"(477, 9649)"
618e1,"(-1, 2)"
618f1,"(10, -29)"
620a1,"(2, 13)"
620a2,"(-6, 31)"
620b1,"(18, -5)"
620b2,"(-13, 150)"
620c1,"(0, 2)"
621b1,"(-2, 1)"
622a1,"(1, 1)"
623a1,"(12, -55)"
624a1,"(2, 2)"
624a2,"(4, 4)"
624b1,"(6, 14)"
624b2,"(-4, 4)"
624f1,"(12, 36)"
624f2,"(-5, 6)"
624f3,"(-16, 54)"
624f4,"(7, 30)"
624g1,"(0, 2)"
624g2,"(45, 286)"
624g3,"(12, 26)"
624g4,"(21, 26)"
626a1,"(0, 3)"
626a2,"(-1, 2)"
629a1,"(2, 2)"
629c1,"(-6, 8)"
629d1,"(16, 47)"
630d1,"(5, -34)"
630d2,"(-7, -91)"
630d3,"(-34, -46)"
630d4,"(38, -244)"
630d5,"(225, -106)"
630d6,"(45, -335)"
630e1,"(2, -11)"
630e2,"(-4, -33)"
630e3,"(-13, -6)"
630e4,"(31, -38)"
632a1,"(0, 4)"
633a1,"(12, -47)"
635a1,"(-3/4, 9/8)"
635a2,"(37/4, 123/8)"
635b1,"(2, -1)"
637a1,"(6, -4)"
637a2,"(104, 1027)"
637c1,"(4776/49, 158761/343)"
637c2,"(-38, 2216)"
637d1,"(7, -25)"
639a1,"(6, 10)"
